staff_id,citizen_id,first_name,last_name,username,password,position,status,gender,phone,created_at
10001,1734567890123,John,Doe,john01,Jd_chef89,Chef,Active,Male,815723946,2026-03-02
10002,1928374650912,Jane,Smith,jane01,JaneM_2024,Manager,Active,Female,921837465,2026-03-05
10003,1847563920183,Michael,Brown,mike01,MikeCash77,Cashier,Active,Male,638472910,2026-03-03
10004,1657382910475,Emily,Davis,emily01,EmD_pass88,Waiter,Active,Female,892647381,2026-03-07
10005,1783946501928,Daniel,Wilson,daniel01,DanChef_55,Chef,Active,Male,917358264,2026-03-01
10006,1938475620193,Sophia,Taylor,sophia01,SophiaW_91,Waiter,Inactive,Female,829471635,2026-03-06
10007,1748392018475,James,Anderson,james01,JamCash_66,Cashier,Active,Male,956283741,2026-03-04
10008,1627384950128,Olivia,Thomas,olivia01,OliviaM88,Waiter,Active,Female,863927154,2026-03-08
10009,1893746501283,William,Jackson,will01,WillChef90,Chef,Active,Male,937462815,2026-03-02
10010,1765438291047,Ava,White,ava01,AvaWait_23,Waiter,Active,Female,648291735,2026-03-01
10011,1938475610293,Ethan,Harris,ethan01,EthChef_01,Chef,Active,Male,885736291,2026-03-06
10012,1827364590182,Mia,Martin,mia01,MiaCash88,Cashier,Active,Female,974618253,2026-03-09
10013,1748392019284,Alexander,Thompson,alex01,AlexW_778,Waiter,Inactive,Male,818364927,2026-03-03
10014,1627384951029,Charlotte,Garcia,charlotte01,CharM_2022,Cashier,Active,Female,927461835,2026-03-07
10015,1893746502193,Benjamin,Martinez,ben01,BenChef77,Waiter,Active,Male,639182746,2026-03-02
10016,1765438292148,Amelia,Robinson,amelia01,AmeliaW_45,Waiter,Active,Female,893172648,2026-03-10
10017,1938475611203,Lucas,Clark,lucas01,LucasC_91,Cashier,Active,Male,918263745,2026-03-05
10018,1827364591293,Harper,Rodriguez,harper01,HarperW88,Waiter,Inactive,Female,826173948,2026-03-08
10019,1748392012384,Henry,Lewis,henry01,HenryChef_5,Chef,Active,Male,953746182,2026-03-04
10020,1627384952109,Evelyn,Lee,eve01,EveM_8899,Chef,Active,Female,864918273,2026-03-01
10021,1893746503294,Sebastian,Walker,seb01,SebChef_88,Chef,Active,Male,936172849,2026-03-06
10022,1765438293185,Abigail,Hall,abby01,AbbyW_2001,Waiter,Active,Female,648273916,2026-03-02
10023,1938475614304,Jack,Allen,jack01,JackCash77,Cashier,Active,Male,881726394,2026-03-09
10024,1827364594382,Ella,Young,ella01,EllaW_909,Waiter,Active,Female,973648291,2026-03-03
10025,1748392015484,Owen,Hernandez,owen01,OwenChef_33,Chef,Active,Male,819273645,2026-03-05
10026,1627384955481,Scarlett,King,scar01,ScarM_2025,Waiter,Active,Female,923847165,2026-03-07
10027,1893746506482,Aiden,Wright,aiden01,AidenW_72,Waiter,Inactive,Male,638471926,2026-03-04
10028,1765438297483,Victoria,Lopez,vic01,VicCash_11,Cashier,Active,Female,892641738,2026-03-08
10029,1938475618402,Samuel,Hill,sam01,SamChef_88,Chef,Inactive,Male,917362845,2026-03-01
10030,1827364599483,Grace,Scott,grace01,GraceW_56,Waiter,Active,Female,829173648,2026-03-06
10031,1748392020484,David,Green,david01,DavidChef_9,Chef,Inactive,Male,957263841,2026-03-03
10032,1627384961485,Chloe,Adams,chloe01,ChloeW_88,Waiter,Active,Female,863719284,2026-03-10
10033,1893746512486,Joseph,Baker,joe01,JoeCash_44,Cashier,Active,Male,938271645,2026-03-02
10034,1765438303487,Lily,Gonzalez,lily01,LilyM_321,Waiter,Inactive,Female,649182736,2026-03-07
10035,1938475624488,Matthew,Nelson,matt01,MattChef88,Waiter,Active,Male,883627194,2026-03-05
10036,1827364605489,Zoe,Carter,zoe01,ZoeW_2020,Waiter,Active,Female,971826345,2026-03-01
10037,1748392026490,Andrew,Mitchell,andrew01,AndyCash77,Cashier,Active,Male,817364928,2026-03-08
10038,1627384967491,Hannah,Perez,hannah01,HannahW_19,Waiter,Active,Female,927361845,2026-03-04
10039,1893746518492,Christopher,Roberts,chris01,ChrisChef_8,Waiter,Inactive,Male,638172649,2026-03-06
10040,1765438309493,Natalie,Turner,nat01,NatM_2024,Waiter,Active,Female,897263148,2026-03-02
